name,chr,size_mb,src
sim_0024,1,11.155618,simulation (truth)
sim_0024,1,0.509002,simulation (truth)
sim_0024,1,0.254501,simulation (truth)
sim_0024,3,14.719623,simulation (truth)
sim_0024,3,35.250742,simulation (truth)
sim_0024,3,6.617468,simulation (truth)
sim_0024,3,7.423441,simulation (truth)
sim_0024,6,98.679313,simulation (truth)
sim_0024,7,11.53726,simulation (truth)
sim_0024,8,0.975734,simulation (truth)
sim_0024,8,2.587816,simulation (truth)
sim_0024,9,2.715212,simulation (truth)
sim_0025,1,11.113201,simulation (truth)
sim_0025,1,11.494952,simulation (truth)
sim_0025,1,0.721085,simulation (truth)
sim_0025,2,114.566833,simulation (truth)
sim_0025,2,1.654242,simulation (truth)
sim_0025,3,9.077808,simulation (truth)
sim_0025,5,2.290563,simulation (truth)
sim_0025,5,3.138919,simulation (truth)
sim_0025,6,85.994396,simulation (truth)
sim_0025,6,50.485117,simulation (truth)
sim_0025,6,0.042424,simulation (truth)
sim_0025,8,4.284745,simulation (truth)
sim_0025,9,20.745917,simulation (truth)
sim_0025,10,29.81992,simulation (truth)
sim_0026,1,16.542551,simulation (truth)
sim_0026,1,1.018003,simulation (truth)
sim_0026,1,2.332923,simulation (truth)
sim_0026,2,19.766066,simulation (truth)
sim_0026,4,2.841984,simulation (truth)
sim_0027,1,21.378065,simulation (truth)
sim_0027,2,4.496144,simulation (truth)
sim_0027,3,2.50276,simulation (truth)
sim_0027,4,14.422011,simulation (truth)
sim_0027,4,42.417679,simulation (truth)
sim_0027,5,18.069993,simulation (truth)
sim_0027,5,8.525983,simulation (truth)
sim_0027,6,38.818389,simulation (truth)
sim_0027,7,2.841899,simulation (truth)
sim_0027,7,65.618167,simulation (truth)
sim_0027,7,8.016699,simulation (truth)
sim_0027,8,4.115052,simulation (truth)
sim_0027,8,98.209753,simulation (truth)
sim_0027,9,8.357762,simulation (truth)
sim_0027,9,8.400188,simulation (truth)
sim_0027,10,0.848361,simulation (truth)
sim_0028,2,31.727505,simulation (truth)
sim_0028,3,106.939976,simulation (truth)
sim_0028,3,11.283631,simulation (truth)
sim_0028,4,13.828163,simulation (truth)
sim_0028,5,137.773097,simulation (truth)
sim_0028,5,25.874873,simulation (truth)
sim_0028,7,1.781488,simulation (truth)
sim_0028,8,62.828788,simulation (truth)
sim_0028,10,138.792002,simulation (truth)
sim_0029,1,18.578557,simulation (truth)
sim_0029,2,200.417729,simulation (truth)
sim_0029,4,111.770583,simulation (truth)
sim_0029,6,84.467116,simulation (truth)
sim_0029,6,1.951526,simulation (truth)
sim_0029,10,1.823978,simulation (truth)
sim_0029,10,3.054102,simulation (truth)
sim_0029,10,0.042418,simulation (truth)
sim_0029,10,1.018034,simulation (truth)
sim_0030,3,33.341857,simulation (truth)
sim_0030,3,1.27259,simulation (truth)
sim_0030,4,87.295582,simulation (truth)
sim_0030,5,107.741276,simulation (truth)
sim_0030,6,8.35762,simulation (truth)
sim_0030,6,53.624527,simulation (truth)
sim_0030,6,3.096986,simulation (truth)
sim_0030,7,2.629817,simulation (truth)
sim_0030,7,10.307184,simulation (truth)
sim_0030,9,9.588093,simulation (truth)
sim_0030,9,47.431361,simulation (truth)
sim_0031,1,14.082377,simulation (truth)
sim_0031,1,11.91912,simulation (truth)
sim_0031,1,11.622202,simulation (truth)
sim_0031,3,39.874486,simulation (truth)
sim_0031,3,3.563252,simulation (truth)
sim_0031,3,1.654367,simulation (truth)
sim_0031,4,9.798483,simulation (truth)
sim_0031,4,120.126866,simulation (truth)
sim_0031,4,4.114514,simulation (truth)
sim_0031,5,3.987275,simulation (truth)
sim_0031,7,1.230075,simulation (truth)
sim_0031,7,23.032104,simulation (truth)
sim_0031,8,9.248261,simulation (truth)
sim_0031,9,0.042425,simulation (truth)
sim_0031,9,63.383233,simulation (truth)
sim_0032,1,34.145522,simulation (truth)
sim_0032,2,65.787915,simulation (truth)
sim_0032,2,25.280204,simulation (truth)
sim_0032,3,71.774073,simulation (truth)
sim_0032,4,0.084835,simulation (truth)
sim_0032,5,5.599153,simulation (truth)
sim_0032,5,0.424178,simulation (truth)
sim_0032,5,9.077414,simulation (truth)
sim_0032,6,0.339396,simulation (truth)
sim_0032,9,7.84866,simulation (truth)
sim_0032,9,14.382139,simulation (truth)
sim_0032,10,25.57811,simulation (truth)
sim_0033,1,14.421711,simulation (truth)
sim_0033,1,11.622202,simulation (truth)
sim_0033,3,11.707828,simulation (truth)
sim_0033,4,138.324049,simulation (truth)
sim_0033,5,6.489928,simulation (truth)
sim_0033,7,19.002546,simulation (truth)
sim_0033,8,82.385892,simulation (truth)
sim_0033,9,2.757637,simulation (truth)
sim_0033,10,1.611888,simulation (truth)
sim_0034,1,118.088362,simulation (truth)
sim_0034,3,61.593354,simulation (truth)
sim_0034,3,18.198036,simulation (truth)
sim_0034,4,39.406024,simulation (truth)
sim_0034,5,154.697809,simulation (truth)
sim_0034,5,2.799576,simulation (truth)
sim_0035,1,65.1522,simulation (truth)
sim_0035,2,20.571978,simulation (truth)
sim_0035,4,14.676517,simulation (truth)
sim_0035,4,126.150176,simulation (truth)
sim_0035,5,4.326619,simulation (truth)
sim_0035,6,1.018187,simulation (truth)
sim_0035,6,7.000037,simulation (truth)
sim_0035,7,9.798188,simulation (truth)
sim_0035,9,1.781858,simulation (truth)
sim_0035,10,84.963441,simulation (truth)
sim_0036,2,8.780205,simulation (truth)
sim_0036,4,11.919367,simulation (truth)
sim_0036,4,41.10273,simulation (truth)
sim_0036,5,32.746561,simulation (truth)
sim_0036,6,1.696978,simulation (truth)
sim_0036,6,4.369721,simulation (truth)
sim_0036,6,13.830377,simulation (truth)
sim_0036,8,2.672663,simulation (truth)
sim_0036,8,19.938913,simulation (truth)
sim_0036,9,0.509102,simulation (truth)
sim_0036,9,1.697008,simulation (truth)
sim_0036,9,16.800374,simulation (truth)
sim_0037,1,16.839468,simulation (truth)
sim_0037,1,27.061916,simulation (truth)
sim_0037,2,36.605397,simulation (truth)
sim_0037,3,167.006223,simulation (truth)
sim_0037,4,148.886051,simulation (truth)
sim_0037,5,4.326619,simulation (truth)
sim_0037,5,33.382828,simulation (truth)
sim_0037,6,10.139447,simulation (truth)
sim_0037,7,36.350853,simulation (truth)
sim_0037,7,2.248069,simulation (truth)
sim_0037,8,0.721195,simulation (truth)
sim_0037,8,93.076543,simulation (truth)
sim_0037,9,2.969763,simulation (truth)
sim_0037,10,52.556018,simulation (truth)
sim_0038,1,0.636252,simulation (truth)
sim_0038,1,10.010365,simulation (truth)
sim_0038,2,0,simulation (truth)
sim_0038,2,11.070694,simulation (truth)
sim_0038,3,1.060492,simulation (truth)
sim_0038,4,2.757149,simulation (truth)
sim_0038,4,1.018025,simulation (truth)
sim_0038,4,22.693458,simulation (truth)
sim_0038,4,3.308578,simulation (truth)
sim_0038,5,2.16331,simulation (truth)
sim_0038,5,162.67236,simulation (truth)
sim_0038,6,116.200618,simulation (truth)
sim_0038,7,15.057821,simulation (truth)
sim_0038,8,4.581708,simulation (truth)
sim_0038,10,19.681996,simulation (truth)
sim_0039,1,28.758588,simulation (truth)
sim_0039,2,2.417738,simulation (truth)
sim_0039,4,4.835615,simulation (truth)
sim_0039,8,8.739183,simulation (truth)
sim_0039,10,2.163323,simulation (truth)
sim_0039,10,38.642883,simulation (truth)
sim_0040,1,26.89225,simulation (truth)
sim_0040,2,3.732648,simulation (truth)
sim_0040,3,2.54518,simulation (truth)
sim_0040,3,1.018072,simulation (truth)
sim_0040,5,34.52811,simulation (truth)
sim_0040,6,12.133398,simulation (truth)
sim_0040,7,176.706712,simulation (truth)
sim_0040,8,92.779581,simulation (truth)
sim_0040,8,33.556767,simulation (truth)
sim_0041,1,21.123564,simulation (truth)
sim_0041,1,49.076234,simulation (truth)
sim_0041,2,15.863752,simulation (truth)
sim_0041,3,34.31751,simulation (truth)
sim_0041,4,13.531239,simulation (truth)
sim_0041,5,0.763521,simulation (truth)
sim_0041,5,6.23542,simulation (truth)
sim_0041,6,53.200282,simulation (truth)
sim_0041,8,1.527236,simulation (truth)
sim_0041,9,7.085007,simulation (truth)
sim_0041,10,2.545085,simulation (truth)
sim_0041,10,6.023369,simulation (truth)
sim_0042,6,11.115211,simulation (truth)
sim_0042,7,1.314908,simulation (truth)
sim_0042,8,20.278298,simulation (truth)
sim_0042,9,20.873193,simulation (truth)
sim_0043,1,16.415301,simulation (truth)
sim_0043,1,15.566965,simulation (truth)
sim_0043,1,10.095198,simulation (truth)
sim_0043,2,17.475578,simulation (truth)
sim_0043,3,14.04091,simulation (truth)
sim_0043,4,136.160748,simulation (truth)
sim_0043,5,173.913084,simulation (truth)
sim_0043,7,2.502567,simulation (truth)
sim_0043,8,15.866284,simulation (truth)
sim_0044,2,8.48329,simulation (truth)
sim_0044,2,17.772493,simulation (truth)
sim_0044,2,8.313625,simulation (truth)
sim_0044,3,2.163403,simulation (truth)
sim_0044,3,21.252252,simulation (truth)
sim_0044,5,1.527042,simulation (truth)
sim_0044,5,13.955464,simulation (truth)
sim_0044,7,7.465286,simulation (truth)
sim_0044,8,9.460378,simulation (truth)
sim_0044,10,2.290577,simulation (truth)
sim_0045,1,10.307281,simulation (truth)
sim_0045,4,2.884402,simulation (truth)
sim_0045,5,0,simulation (truth)
sim_0045,5,202.842041,simulation (truth)
sim_0045,6,9.58793,simulation (truth)
sim_0045,6,1.951526,simulation (truth)
sim_0045,7,40.762158,simulation (truth)
sim_0045,10,110.965732,simulation (truth)
sim_0046,1,27.698168,simulation (truth)
sim_0046,1,15.270047,simulation (truth)
sim_0046,3,2.120983,simulation (truth)
sim_0046,6,115.097581,simulation (truth)
sim_0046,7,10.010269,simulation (truth)
sim_0046,9,2.715212,simulation (truth)
sim_0046,10,53.404379,simulation (truth)
sim_0047,1,2.545007,simulation (truth)
sim_0047,2,11.664524,simulation (truth)
sim_0047,4,3.775173,simulation (truth)
sim_0047,7,17.560388,simulation (truth)
sim_0047,9,1.06063,simulation (truth)
sim_0047,9,3.097039,simulation (truth)
sim_0047,9,0,simulation (truth)
sim_0047,10,2.417831,simulation (truth)
sim_0048,1,6.023185,simulation (truth)
sim_0048,1,15.524548,simulation (truth)
sim_0048,1,6.61702,simulation (truth)
sim_0048,3,41.910629,simulation (truth)
sim_0048,3,5.726655,simulation (truth)
sim_0048,4,134.464041,simulation (truth)
sim_0048,5,0.636268,simulation (truth)
sim_0048,5,0.127254,simulation (truth)
sim_0049,1,48.609649,simulation (truth)
sim_0049,1,37.496449,simulation (truth)
sim_0049,2,1.399743,simulation (truth)
sim_0049,3,53.576037,simulation (truth)
sim_0049,3,0.636295,simulation (truth)
sim_0049,4,6.405069,simulation (truth)
sim_0049,5,8.229058,simulation (truth)
sim_0049,5,24.093325,simulation (truth)
sim_0049,6,0.084849,simulation (truth)
sim_0049,7,1.569407,simulation (truth)
sim_0049,7,1.272492,simulation (truth)
sim_0049,8,45.901923,simulation (truth)
sim_0049,9,19.854988,simulation (truth)
sim_0049,9,0.806079,simulation (truth)
sim_0050,1,5.726267,simulation (truth)
sim_0050,2,5.811053,simulation (truth)
sim_0050,3,21.846128,simulation (truth)
sim_0050,4,147.104509,simulation (truth)
sim_0050,6,31.012286,simulation (truth)
sim_0050,7,4.326473,simulation (truth)
sim_0050,8,128.669624,simulation (truth)
sim_0050,9,65.759043,simulation (truth)
sim_0050,9,9.842644,simulation (truth)
sim_0050,10,80.806468,simulation (truth)
sim_0051,1,60.91052,simulation (truth)
sim_0051,1,15.185213,simulation (truth)
sim_0051,2,7.380462,simulation (truth)
sim_0051,2,101.841898,simulation (truth)
sim_0051,4,3.266161,simulation (truth)
sim_0051,4,1.399784,simulation (truth)
sim_0051,4,14.888605,simulation (truth)
sim_0051,6,6.787915,simulation (truth)
sim_0051,7,127.418858,simulation (truth)
sim_0051,8,34.150692,simulation (truth)
sim_0051,8,7.296793,simulation (truth)
sim_0051,9,2.333385,simulation (truth)
sim_0051,10,2.120905,simulation (truth)
sim_0052,1,2.884343,simulation (truth)
sim_0052,1,28.20717,simulation (truth)
sim_0052,4,0.381759,simulation (truth)
sim_0052,5,0.127254,simulation (truth)
sim_0052,6,15.357657,simulation (truth)
sim_0052,7,107.525568,simulation (truth)
sim_0052,8,0.296963,simulation (truth)
sim_0052,9,6.61833,simulation (truth)
sim_0052,10,12.046738,simulation (truth)
sim_0053,3,5.175199,simulation (truth)
sim_0053,3,130.270793,simulation (truth)
sim_0053,3,42.546924,simulation (truth)
sim_0053,4,5.811222,simulation (truth)
sim_0053,4,10.137825,simulation (truth)
sim_0053,5,12.682929,simulation (truth)
sim_0053,7,7.42287,simulation (truth)
sim_0053,9,4.157669,simulation (truth)
sim_0053,10,12.8951,simulation (truth)
sim_0054,1,35.587692,simulation (truth)
sim_0054,1,11.749452,simulation (truth)
sim_0054,2,11.155527,simulation (truth)
sim_0054,3,6.871986,simulation (truth)
sim_0054,3,12.853158,simulation (truth)
sim_0054,5,34.019096,simulation (truth)
sim_0054,9,17.521603,simulation (truth)
sim_0054,9,0.636378,simulation (truth)
sim_0054,10,4.962917,simulation (truth)
sim_0054,10,1.611887,simulation (truth)
sim_0055,1,37.369198,simulation (truth)
sim_0055,2,12.512853,simulation (truth)
sim_0055,3,163.442971,simulation (truth)
sim_0055,3,12.853159,simulation (truth)
sim_0055,4,3.944844,simulation (truth)
sim_0055,5,0.763521,simulation (truth)
sim_0055,5,169.88339,simulation (truth)
sim_0055,6,1.187886,simulation (truth)
sim_0055,7,7.083538,simulation (truth)
sim_0055,8,77.422375,simulation (truth)
sim_0055,8,11.327,simulation (truth)
sim_0055,9,110.008515,simulation (truth)
sim_0055,10,41.060714,simulation (truth)
sim_0056,1,14.845879,simulation (truth)
sim_0056,1,11.028367,simulation (truth)
sim_0056,3,24.051951,simulation (truth)
sim_0056,4,15.567288,simulation (truth)
sim_0056,4,105.323096,simulation (truth)
sim_0056,4,5.768805,simulation (truth)
sim_0056,4,3.308578,simulation (truth)
sim_0056,5,108.419962,simulation (truth)
sim_0056,8,40.895983,simulation (truth)
sim_0056,9,81.668488,simulation (truth)
sim_0056,9,2.715212,simulation (truth)
sim_0056,10,78.431055,simulation (truth)
sim_0056,10,7.33833,simulation (truth)
sim_0057,1,49.839737,simulation (truth)
sim_0057,1,26.043914,simulation (truth)
sim_0057,1,51.23949,simulation (truth)
sim_0057,2,2.078406,simulation (truth)
sim_0057,4,12.810139,simulation (truth)
sim_0057,4,0.381759,simulation (truth)
sim_0057,4,51.87682,simulation (truth)
sim_0057,4,1.866377,simulation (truth)
sim_0057,5,4.538707,simulation (truth)
sim_0057,8,8.654336,simulation (truth)
sim_0057,8,14.296625,simulation (truth)
sim_0057,9,22.909602,simulation (truth)
sim_0057,9,23.079303,simulation (truth)
sim_0058,1,15.863883,simulation (truth)
sim_0058,1,14.209626,simulation (truth)
sim_0058,5,105.493132,simulation (truth)
sim_0058,6,37.078985,simulation (truth)
sim_0058,7,2.672233,simulation (truth)
sim_0058,8,82.046506,simulation (truth)
sim_0058,9,2.333385,simulation (truth)
sim_0058,10,126.61801,simulation (truth)
sim_0059,1,233.504467,simulation (truth)
sim_0059,4,0.084835,simulation (truth)
sim_0059,4,12.555633,simulation (truth)
sim_0059,5,32.449636,simulation (truth)
sim_0059,5,4.835632,simulation (truth)
sim_0059,6,0.042424,simulation (truth)
sim_0059,6,129.691598,simulation (truth)
sim_0059,6,9.96975,simulation (truth)
sim_0059,7,5.386883,simulation (truth)
sim_0059,7,8.610528,simulation (truth)
sim_0060,1,7.592606,simulation (truth)
sim_0060,1,18.620974,simulation (truth)
sim_0060,2,26.001285,simulation (truth)
sim_0060,3,179.732123,simulation (truth)
sim_0060,4,105.535184,simulation (truth)
sim_0060,5,12.046662,simulation (truth)
sim_0060,5,5.174974,simulation (truth)
sim_0060,6,73.691301,simulation (truth)
sim_0060,9,3.818267,simulation (truth)
sim_0060,10,124.794031,simulation (truth)
sim_0061,1,1.272504,simulation (truth)
sim_0061,1,41.907795,simulation (truth)
sim_0061,2,9.034704,simulation (truth)
sim_0061,3,2.587599,simulation (truth)
sim_0061,4,4.58111,simulation (truth)
sim_0061,4,21.463346,simulation (truth)
sim_0061,4,2.926819,simulation (truth)
sim_0061,5,1.908803,simulation (truth)
sim_0061,7,20.571952,simulation (truth)
sim_0061,7,4.580971,simulation (truth)
sim_0061,7,1.145243,simulation (truth)
sim_0061,8,0.042423,simulation (truth)
sim_0061,9,114.802561,simulation (truth)
sim_0061,10,9.968252,simulation (truth)
sim_0062,1,3.138843,simulation (truth)
sim_0062,1,7.762274,simulation (truth)
sim_0062,5,0.084835,simulation (truth)
sim_0062,5,43.011675,simulation (truth)
sim_0062,6,30.375919,simulation (truth)
sim_0062,7,11.452427,simulation (truth)
sim_0063,1,32.024681,simulation (truth)
sim_0063,4,2.757149,simulation (truth)
sim_0063,6,39.157784,simulation (truth)
sim_0063,6,9.96975,simulation (truth)
sim_0063,7,86.6567,simulation (truth)
sim_0063,8,10.775498,simulation (truth)
sim_0063,9,125.620985,simulation (truth)
sim_0063,10,86.490493,simulation (truth)
sim_0064,1,29.225173,simulation (truth)
sim_0064,1,31.515681,simulation (truth)
sim_0064,2,127.419018,simulation (truth)
sim_0064,2,3.732648,simulation (truth)
